,source,target,type
149,A798,B581,Both
150,A893,B375,Both
151,A632,B791,Both
152,A295,B303,Both
153,A133,B664,Both
154,A305,B465,Both
155,A266,B805,Both
156,A443,B264,Both
157,A571,B473,Both
158,A303,B543,Both
159,A366,B730,Both
160,A900,B676,Both
161,A284,B832,Both
162,A809,B573,Both
163,A33,B934,Both
164,A42,B250,Both
165,A264,B697,Both
166,A836,B931,Both
167,A331,B612,Both
168,A261,B241,Both
169,A205,B640,Both
170,A965,B376,Both
171,A396,B33,Both
172,A764,B267,Both
173,A666,B442,Both
174,A861,B111,Both
175,A908,B124,Both
176,A500,B826,Both
177,A557,B696,Both
178,A847,B357,Both
179,A116,B649,Both
180,A91,B334,Both
181,A194,B854,Both
182,A750,B949,Both
183,A821,B372,Both
184,A696,B361,Both
185,A973,B970,Both
186,A647,B360,Both
187,A516,B644,Both
188,A848,B316,Both
189,A363,B675,Both
190,A479,B343,Both
191,A662,B599,Both
192,A659,B586,Both
193,A273,B930,Both
194,A827,B112,Both
195,A130,B409,Both
196,A623,B547,Both
197,A455,B0,Both
198,A406,B985,Both
199,A446,B767,Both
200,A148,B202,Both
201,A117,B861,Both
202,A694,B764,Both
203,A846,B843,Both
204,A408,B980,Both
205,A491,B171,Both
206,A934,B791,Both
207,A752,B846,Both
208,A842,B329,Both
209,A786,B866,Both
210,A458,B241,Both
211,A325,B562,Both
212,A60,B635,Both
213,A332,B350,Both
214,A599,B596,Both
215,A847,B355,Both
216,A126,B772,Both
217,A73,B547,Both
218,A45,B185,Both
219,A375,B762,Both
220,A904,B824,Both
221,A72,B462,Both
222,A735,B705,Both
223,A86,B233,Both
224,A270,B916,Both
225,A447,B331,Both
226,A140,B279,Both
227,A808,B198,Both
228,A827,B829,Both
229,A879,B683,Both
230,A238,B150,Both
231,A93,B276,Both
232,A194,B438,Both
233,A433,B143,Both
234,A752,B977,Both
235,A549,B439,Both
236,A923,B867,Both
237,A2,B680,Both
238,A358,B552,Both
239,A306,B466,Both
240,A783,B329,Both
241,A219,B920,Both
242,A116,B941,Both
243,A542,B108,Both
244,A866,B991,Both
245,A10,B889,Both
246,A274,B324,Both
247,A565,B295,Both
248,A837,B205,Both
249,A429,B62,Both
250,A927,B730,Both
251,A52,B555,Both
252,A796,B467,Both
253,A829,B809,Both
254,A179,B228,Both
255,A599,B334,Both
256,A880,B381,Both
257,A840,B85,Both
258,A234,B586,Both
259,A638,B425,Both
260,A622,B653,Both
261,A506,B906,Both
262,A227,B606,Both
263,A479,B573,Both
264,A218,B866,Both
265,A551,B477,Both
266,A892,B55,Both
267,A98,B951,Both
268,A187,B209,Both
269,A878,B282,Both
270,A493,B168,Both
271,A696,B873,Both
272,A263,B925,Both
273,A122,B27,Both
274,A306,B923,Both
275,A720,B487,Both
276,A468,B119,Both
277,A270,B722,Both
278,A288,B876,Both
279,A238,B836,Both
280,A186,B708,Both
281,A954,B515,Both
282,A903,B596,Both
283,A697,B522,Both
284,A262,B191,Both
285,A781,B740,Both
286,A367,B623,Both
287,A995,B542,Both
288,A436,B660,Both
289,A532,B498,Both
290,A18,B101,Both
291,A85,B455,Both
292,A42,B756,Both
293,A784,B603,Both
294,A369,B268,Both
295,A658,B200,Both
296,A991,B560,Both
297,A178,B146,Both
298,A75,B186,Both
299,A955,B135,Both
300,A457,B452,Both
301,A189,B120,Both
302,A392,B447,Both
303,A998,B853,Both
304,A909,B137,Both
305,A750,B440,Both
306,A80,B991,Both
307,A679,B664,Both
308,A830,B939,Both
309,A436,B781,Both
310,A649,B689,Both
311,A251,B233,Both
312,A85,B607,Both
313,A582,B128,Both
314,A495,B277,Both
315,A406,B516,Both
316,A93,B174,Both
317,A558,B48,Both
318,A226,B741,Both
319,A182,B116,Both
320,A870,B683,Both
321,A550,B122,Both
322,A958,B650,Both
323,A399,B832,Both
324,A184,B833,Both
325,A667,B558,Both
326,A225,B370,Both
327,A604,B135,Both
328,A167,B559,Both
329,A520,B511,Both
330,A878,B230,Both
331,A143,B152,Both
332,A579,B244,Both
333,A587,B655,Both
334,A570,B784,Both
335,A599,B632,Both
336,A893,B176,Both
337,A824,B448,Both
338,A40,B843,Both
339,A2,B139,Both
340,A880,B107,Both
341,A787,B51,Both
342,A341,B66,Both
343,A782,B54,Both
344,A799,B65,Both
345,A412,B595,Both
346,A737,B686,Both
347,A817,B905,Both
348,A350,B476,Both
349,A996,B209,Both
350,A423,B641,Both
351,A385,B515,Both
352,A945,B381,Both
353,A372,B326,Both
354,A692,B563,Both
355,A346,B7,Both
356,A374,B621,Both
357,A918,B499,Both
358,A999,B316,Both
359,A201,B447,Both
360,A510,B933,Both
361,A214,B183,Both
362,A935,B700,Both
363,A286,B121,Both
364,A20,B76,Both
365,A158,B206,Both
366,A304,B592,Both
367,A463,B684,Both
368,A310,B965,Both
369,A125,B577,Both
370,A20,B564,Both
371,A616,B587,Both
372,A78,B137,Both
373,A194,B216,Both
374,A510,B637,Both
375,A849,B577,Both
376,A759,B492,Both
377,A183,B934,Both
378,A276,B396,Both
379,A901,B54,Both
380,A516,B62,Both
381,A615,B463,Both
382,A693,B36,Both
383,A396,B319,Both
384,A775,B553,Both
385,A226,B89,Both
386,A808,B537,Both
387,A606,B752,Both
388,A81,B579,Both
389,A535,B823,Both
390,A271,B274,Both
391,A423,B290,Both
392,A933,B747,Both
393,A672,B620,Both
394,A169,B534,Both
395,A275,B655,Both
396,A70,B619,Both
397,A444,B411,Both
398,A325,B778,Both
399,A351,B390,Both
400,A405,B835,Both
401,A937,B126,Both
402,A504,B607,Both
403,A698,B433,Both
404,A872,B519,Both
405,A135,B399,Both
406,A832,B848,Both
407,A280,B559,Both
408,A470,B686,Both
409,A486,B675,Both
410,A638,B573,Both
411,A368,B178,Both
412,A109,B2,Both
413,A500,B948,Both
414,A254,B357,Both
415,A816,B528,Both
416,A308,B530,Both
417,A23,B382,Both
418,A201,B697,Both
419,A667,B819,Both
420,A876,B724,Both
421,A867,B513,Both
422,A634,B385,Both
423,A610,B492,Both
424,A259,B540,Both
425,A916,B405,Both
426,A331,B887,Both
427,A767,B983,Both
428,A204,B660,Both
429,A244,B921,Both
430,A659,B968,Both
431,A979,B865,Both
432,A880,B18,Both
433,A435,B44,Both
434,A653,B62,Both
435,A456,B733,Both
436,A630,B783,Both
437,A694,B729,Both
438,A877,B979,Both
439,A491,B992,Both
440,A768,B162,Both
441,A734,B443,Both
442,A816,B734,Both
443,A623,B716,Both
444,A518,B425,Both
445,A337,B771,Both
446,A940,B504,Both
447,A882,B178,Both
448,A532,B951,Both
449,A834,B451,Both
450,A311,B776,Both
451,A815,B622,Both
452,A759,B20,Both
453,A676,B123,Both
454,A583,B196,Both
455,A766,B457,Both
456,A903,B894,Both
457,A830,B420,Both
458,A36,B322,Both
459,A962,B659,Both
460,A71,B160,Both
461,A724,B768,Both
462,A660,B152,Both
463,A328,B54,Both
464,A380,B321,Both
465,A182,B217,Both
466,A633,B808,Both
467,A604,B186,Both
468,A728,B937,Both
469,A957,B548,Both
470,A535,B987,Both
471,A378,B967,Both
472,A602,B223,Both
473,A672,B87,Both
474,A822,B681,Both
475,A275,B371,Both
476,A580,B425,Both
477,A529,B581,Both
478,A876,B759,Both
479,A565,B237,Both
480,A659,B225,Both
481,A52,B584,Both
482,A108,B617,Both
483,A436,B400,Both
484,A1,B897,Both
485,A207,B923,Both
486,A422,B869,Both
487,A30,B304,Both
488,A939,B559,Both
489,A197,B185,Both
490,A770,B15,Both
491,A519,B615,Both
492,A648,B687,Both
493,A258,B78,Both
494,A509,B644,Both
495,A503,B689,Both
496,A487,B578,Both
497,A311,B617,Both
498,A163,B166,Both
499,A847,B670,Both
500,A696,B593,Both
501,A64,B435,Both
502,A56,B906,Both
503,A594,B244,Both
504,A606,B786,Both
505,A802,B364,Both
506,A374,B411,Both
507,A725,B31,Both
508,A210,B194,Both
509,A940,B545,Both
510,A23,B270,Both
511,A606,B378,Both
512,A198,B276,Both
513,A730,B849,Both
514,A835,B851,Both
515,A375,B320,Both
516,A720,B219,Both
517,A270,B941,Both
518,A841,B604,Both
519,A790,B736,Both
520,A145,B553,Both
521,A905,B665,Both
522,A395,B24,Both
523,A796,B232,Both
524,A135,B593,Both
525,A147,B746,Both
526,A868,B134,Both
527,A441,B94,Both
528,A310,B189,Both
529,A770,B984,Both
530,A877,B161,Both
531,A466,B36,Both
532,A796,B753,Both
533,A57,B10,Both
534,A58,B621,Both
535,A989,B439,Both
536,A304,B635,Both
537,A638,B934,Both
538,A178,B104,Both
539,A367,B492,Both
540,A461,B107,Both
541,A311,B52,Both
542,A991,B609,Both
543,A512,B600,Both
544,A272,B912,Both
545,A314,B492,Both
546,A625,B883,Both
547,A159,B612,Both
548,A208,B939,Both
549,A272,B684,Both
550,A41,B344,Both
551,A552,B478,Both
552,A183,B752,Both
553,A601,B918,Both
554,A318,B266,Both
555,A991,B687,Both
556,A912,B564,Both
557,A711,B388,Both
558,A383,B300,Both
559,A653,B326,Both
560,A682,B951,Both
561,A341,B725,Both
562,A553,B606,Both
563,A765,B953,Both
564,A308,B738,Both
565,A318,B764,Both
566,A782,B806,Both
567,A161,B638,Both
568,A990,B466,Both
569,A441,B215,Both
570,A751,B452,Both
571,A974,B915,Both
572,A803,B138,Both
573,A472,B523,Both
574,A56,B121,Both
575,A355,B120,Both
576,A523,B90,Both
577,A986,B278,Both
578,A187,B599,Both
579,A450,B652,Both
580,A924,B306,Both
581,A676,B807,Both
582,A92,B705,Both
583,A373,B595,Both
584,A991,B706,Both
585,A946,B352,Both
586,A779,B192,Both
587,A733,B35,Both
588,A988,B470,Both
589,A941,B713,Both
590,A852,B494,Both
591,A663,B471,Both
592,A399,B668,Both
593,A594,B87,Both
594,A667,B62,Both
595,A254,B752,Both
596,A545,B393,Both
597,A428,B746,Both
598,A863,B698,Both
599,A429,B256,Both
600,A569,B375,Both
601,A651,B289,Both
602,A568,B829,Both
603,A466,B109,Both
604,A313,B473,Both
605,A447,B714,Both
606,A635,B831,Both
607,A58,B516,Both
608,A642,B342,Both
609,A47,B360,Both
610,A139,B277,Both
611,A805,B319,Both
612,A4,B989,Both
613,A501,B663,Both
614,A999,B153,Both
615,A427,B950,Both
616,A8,B823,Both
617,A694,B169,Both
618,A391,B205,Both
619,A120,B524,Both
620,A605,B482,Both
621,A987,B701,Both
622,A514,B972,Both
623,A977,B824,Both
624,A24,B666,Both
625,A605,B798,Both
626,A210,B747,Both
627,A957,B375,Both
628,A221,B385,Both
629,A847,B925,Both
630,A900,B777,Both
631,A903,B938,Both
632,A252,B415,Both
633,A473,B140,Both
634,A721,B552,Both
635,A184,B405,Both
636,A853,B927,Both
637,A403,B465,Both
638,A2,B597,Both
639,A468,B864,Both
640,A418,B753,Both
641,A538,B247,Both
642,A591,B411,Both
643,A720,B177,Both
644,A653,B270,Both
645,A208,B473,Both
646,A661,B966,Both
647,A165,B156,Both
648,A633,B436,Both
649,A677,B862,Both
650,A926,B391,Both
651,A669,B819,Both
652,A838,B984,Both
653,A747,B726,Both
654,A579,B192,Both
655,A198,B248,Both
656,A780,B628,Both
657,A98,B182,Both
658,A181,B976,Both
659,A998,B755,Both
660,A855,B520,Both
661,A14,B917,Both
662,A576,B242,Both
663,A484,B974,Both
664,A256,B71,Both
665,A351,B448,Both
666,A386,B683,Both
667,A211,B349,Both
668,A330,B430,Both
669,A102,B698,Both
670,A517,B820,Both
671,A932,B3,Both
672,A627,B389,Both
673,A57,B999,Both
674,A859,B82,Both
675,A340,B518,Both
676,A118,B111,Both
677,A333,B610,Both
678,A705,B814,Both
679,A545,B99,Both
680,A352,B734,Both
681,A545,B327,Both
682,A810,B935,Both
683,A913,B412,Both
684,A467,B890,Both
685,A524,B958,Both
686,A357,B713,Both
687,A799,B123,Both
688,A413,B579,Both
689,A747,B336,Both
690,A568,B315,Both
691,A198,B664,Both
692,A154,B730,Both
693,A819,B47,Both
694,A236,B348,Both
695,A764,B192,Both
696,A636,B32,Both
697,A808,B170,Both
698,A518,B480,Both
699,A214,B251,Both
700,A831,B366,Both
701,A150,B320,Both
702,A647,B135,Both
703,A351,B437,Both
704,A454,B525,Both
705,A53,B681,Both
706,A695,B441,Both
707,A176,B869,Both
708,A821,B644,Both
709,A553,B304,Both
710,A954,B617,Both
711,A109,B897,Both
712,A32,B654,Both
713,A814,B389,Both
714,A625,B141,Both
715,A585,B348,Both
716,A413,B857,Both
717,A154,B228,Both
718,A584,B263,Both
719,A254,B580,Both
720,A477,B127,Both
721,A641,B862,Both
722,A218,B629,Both
723,A176,B624,Both
724,A798,B345,Both
725,A574,B613,Both
726,A292,B225,Both
727,A140,B843,Both
728,A102,B332,Both
729,A34,B412,Both
730,A761,B577,Both
731,A292,B215,Both
732,A192,B132,Both
733,A512,B516,Both
734,A398,B453,Both
735,A237,B503,Both
736,A416,B600,Both
737,A458,B388,Both
738,A619,B996,Both
739,A760,B892,Both
740,A440,B408,Both
741,A75,B804,Both
742,A426,B709,Both
743,A348,B55,Both
744,A130,B774,Both
745,A523,B144,Both
746,A715,B187,Both
747,A365,B17,Both
748,A480,B455,Both
749,A367,B59,Both
750,A177,B35,Both
751,A339,B197,Both
752,A620,B577,Both
753,A280,B262,Both
754,A191,B188,Both
755,A702,B772,Both
756,A191,B928,Both
757,A550,B543,Both
758,A398,B512,Both
759,A647,B782,Both
760,A506,B81,Both
761,A37,B102,Both
762,A185,B446,Both
763,A646,B75,Both
764,A10,B316,Both
765,A406,B5,Both
766,A23,B45,Both
767,A120,B467,Both
768,A538,B745,Both
769,A185,B657,Both
770,A733,B761,Both
771,A183,B91,Both
772,A607,B266,Both
773,A491,B969,Both
774,A130,B326,Both
775,A527,B967,Both
776,A610,B843,Both
777,A512,B642,Both
778,A879,B85,Both
779,A315,B532,Both
780,A827,B198,Both
781,A158,B681,Both
782,A43,B692,Both
783,A324,B785,Both
784,A561,B989,Both
785,A453,B101,Both
786,A797,B979,Both
787,A176,B147,Both
788,A222,B927,Both
789,A708,B215,Both
790,A612,B685,Both
791,A244,B534,Both
792,A713,B966,Both
793,A388,B127,Both
794,A457,B629,Both
795,A166,B496,Both
796,A79,B803,Both
797,A328,B987,Both
798,A600,B531,Both
799,A615,B452,Both
800,A384,B479,Both
801,A328,B281,Both
802,A177,B888,Both
803,A9,B180,Both
804,A111,B874,Both
805,A365,B667,Both
806,A129,B855,Both
807,A704,B329,Both
808,A113,B400,Both
809,A295,B992,Both
810,A27,B402,Both
811,A78,B722,Both
812,A730,B523,Both
813,A308,B977,Both
814,A121,B230,Both
815,A744,B447,Both
816,A429,B66,Both
817,A873,B532,Both
818,A530,B41,Both
819,A338,B591,Both
820,A899,B699,Both
821,A472,B130,Both
822,A818,B461,Both
823,A570,B26,Both
824,A539,B458,Both
825,A633,B956,Both
826,A306,B779,Both
827,A955,B566,Both
828,A257,B123,Both
829,A579,B841,Both
830,A969,B950,Both
831,A115,B919,Both
832,A106,B228,Both
833,A753,B977,Both
834,A68,B230,Both
835,A562,B74,Both
836,A994,B641,Both
837,A182,B911,Both
838,A843,B67,Both
839,A868,B994,Both
840,A248,B35,Both
841,A859,B480,Both
842,A115,B403,Both
843,A588,B204,Both
844,A917,B383,Both
845,A759,B27,Both
846,A65,B77,Both
847,A0,B902,Both
848,A532,B995,Both
849,A242,B561,Both
850,A529,B983,Both
851,A324,B804,Both
852,A524,B867,Both
853,A199,B563,Both
854,A746,B633,Both
855,A304,B331,Both
856,A538,B27,Both
857,A989,B903,Both
858,A506,B47,Both
859,A568,B185,Both
860,A268,B210,Both
861,A967,B643,Both
862,A692,B452,Both
863,A706,B127,Both
864,A556,B539,Both
865,A421,B676,Both
866,A799,B852,Both
867,A412,B638,Both
868,A317,B780,Both
869,A531,B221,Both
870,A94,B434,Both
871,A580,B20,Both
872,A902,B840,Both
873,A812,B80,Both
874,A679,B175,Both
875,A367,B393,Both
876,A170,B33,Both
877,A605,B470,Both
878,A259,B148,Both
879,A850,B739,Both
880,A248,B135,Both
881,A933,B702,Both
882,A988,B368,Both
883,A348,B290,Both
884,A454,B274,Both
885,A460,B79,Both
886,A336,B620,Both
887,A225,B109,Both
888,A853,B448,Both
889,A4,B237,Both
890,A924,B689,Both
891,A772,B544,Both
892,A386,B408,Both
893,A937,B466,Both
894,A404,B593,Both
895,A197,B491,Both
896,A758,B916,Both
897,A903,B875,Both
898,A909,B58,Both
899,A439,B224,Both
900,A403,B531,Both
901,A603,B533,Both
902,A909,B81,Both
903,A16,B831,Both
904,A832,B872,Both
905,A455,B545,Both
906,A240,B142,Both
907,A112,B828,Both
908,A629,B86,Both
909,A601,B804,Both
910,A826,B583,Both
911,A717,B740,Both
912,A952,B777,Both
913,A249,B135,Both
914,A198,B516,Both
915,A346,B547,Both
916,A315,B721,Both
917,A841,B883,Both
918,A110,B330,Both
919,A657,B74,Both
920,A285,B423,Both
921,A732,B344,Both
922,A326,B552,Both
923,A52,B167,Both
924,A700,B677,Both
925,A432,B536,Both
926,A564,B43,Both
927,A898,B560,Both
928,A130,B903,Both
929,A932,B202,Both
930,A238,B261,Both
931,A426,B171,Both
932,A880,B427,Both
933,A70,B682,Both
934,A92,B532,Both
935,A806,B664,Both
936,A340,B498,Both
937,A437,B829,Both
938,A750,B231,Both
939,A462,B383,Both
940,A493,B660,Both
941,A84,B476,Both
942,A281,B935,Both
943,A602,B933,Both
944,A231,B469,Both
945,A756,B53,Both
946,A965,B534,Both
947,A164,B562,Both
948,A325,B6,Both
949,A274,B164,Both
950,A102,B305,Both
951,A977,B455,Both
952,A240,B234,Both
953,A792,B485,Both
954,A95,B645,Both
955,A488,B408,Both
956,A495,B352,Both
957,A583,B710,Both
958,A363,B810,Both
959,A709,B690,Both
960,A625,B119,Both
961,A281,B544,Both
962,A588,B869,Both
963,A284,B928,Both
964,A302,B169,Both
965,A913,B359,Both
966,A903,B624,Both
967,A4,B762,Both
968,A40,B216,Both
969,A829,B505,Both
970,A423,B507,Both
971,A410,B938,Both
972,A587,B16,Both
973,A305,B325,Both
974,A830,B752,Both
975,A959,B741,Both
976,A806,B781,Both
977,A317,B161,Both
978,A161,B753,Both
979,A762,B147,Both
980,A463,B819,Both
981,A321,B620,Both
982,A861,B926,Both
983,A638,B804,Both
984,A761,B312,Both
985,A559,B304,Both
986,A838,B953,Both
987,A259,B531,Both
988,A200,B573,Both
989,A598,B923,Both
990,A195,B886,Both
991,A339,B256,Both
992,A922,B55,Both
993,A196,B841,Both
994,A977,B43,Both
995,A610,B486,Both
996,A131,B954,Both
997,A382,B659,Both
998,A889,B586,Both
999,A632,B430,Both
1000,A146,B713,Both
1001,A332,B79,Both
1002,A129,B128,Both
1003,A225,B808,Both
1004,A112,B231,Both
1005,A493,B478,Both
1006,A986,B422,Both
1007,A300,B484,Both
1008,A889,B8,Both
1009,A163,B626,Both
1010,A381,B547,Both
1011,A389,B399,Both
1012,A37,B222,Both
1013,A150,B765,Both
1014,A678,B827,Both
1015,A33,B882,Both
1016,A737,B52,Both
1017,A987,B682,Both
1018,A335,B960,Both
1019,A192,B213,Both
1020,A892,B644,Both
1021,A812,B755,Both
1022,A523,B309,Both
1023,A626,B226,Both
1024,A16,B124,Both
1025,A392,B231,Both
1026,A414,B855,Both
1027,A427,B873,Both
1028,A106,B8,Both
1029,A243,B702,Both
1030,A561,B141,Both
1031,A24,B381,Both
1032,A827,B664,Both
1033,A869,B429,Both
1034,A542,B496,Both
1035,A120,B86,Both
1036,A957,B10,Both
1037,A930,B631,Both
1038,A181,B269,Both
1039,A855,B233,Both
1040,A993,B392,Both
1041,A686,B576,Both
1042,A721,B621,Both
1043,A799,B205,Both
1044,A48,B750,Both
1045,A328,B493,Both
1046,A437,B551,Both
1047,A610,B347,Both
1048,A868,B270,Both
1049,A577,B232,Both
1050,A919,B251,Both
1051,A773,B211,Both
1052,A663,B522,Both
1053,A460,B405,Both
1054,A885,B755,Both
1055,A89,B149,Both
1056,A465,B332,Both
1057,A338,B476,Both
1058,A261,B768,Both
1059,A350,B501,Both
1060,A952,B414,Both
1061,A36,B449,Both
1062,A879,B366,Both
1063,A878,B526,Both
1064,A653,B577,Both
1065,A68,B74,Both
1066,A248,B248,Both
1067,A327,B832,Both
1068,A779,B850,Both
1069,A275,B887,Both
1070,A837,B745,Both
1071,A923,B571,Both
1072,A171,B774,Both
1073,A379,B781,Both
1074,A831,B549,Both
1075,A826,B672,Both
1076,A248,B867,Both
1077,A863,B959,Both
1078,A318,B732,Both
1079,A973,B109,Both
1080,A810,B772,Both
1081,A877,B691,Both
1082,A926,B908,Both
1083,A354,B415,Both
1084,A965,B398,Both
1085,A548,B93,Both
1086,A750,B606,Both
1087,A945,B257,Both
1088,A826,B218,Both
1089,A461,B164,Both
1090,A888,B900,Both
1091,A777,B592,Both
1092,A668,B790,Both
1093,A980,B718,Both
1094,A500,B945,Both
1095,A739,B771,Both
1096,A787,B17,Both
1097,A846,B54,Both
1098,A139,B273,Both
1099,A504,B922,Both
1100,A156,B224,Both
1101,A965,B473,Both
1102,A851,B613,Both
1103,A224,B503,Both
1104,A642,B746,Both
1105,A930,B973,Both
1106,A490,B514,Both
1107,A33,B435,Both
1108,A516,B711,Both
1109,A146,B793,Both
1110,A895,B110,Both
1111,A464,B280,Both
1112,A664,B958,Both
1113,A753,B653,Both
1114,A262,B294,Both
1115,A177,B363,Both
1116,A515,B119,Both
1117,A201,B454,Both
1118,A637,B672,Both
1119,A769,B52,Both
1120,A396,B899,Both
1121,A97,B177,Both
1122,A245,B258,Both
1123,A311,B479,Both
1124,A613,B170,Both
1125,A732,B969,Both
1126,A927,B976,Both
1127,A56,B558,Both
1128,A578,B655,Both
1129,A159,B282,Both
1130,A468,B944,Both
1131,A816,B11,Both
1132,A758,B38,Both
1133,A742,B315,Both
1134,A107,B905,Both
1135,A506,B848,Both
1136,A115,B162,Both
1137,A56,B297,Both
1138,A345,B867,Both
1139,A908,B573,Both
1140,A617,B704,Both
1141,A382,B452,Both
1142,A493,B309,Both
1143,A962,B898,Both
1144,A128,B471,Both
1145,A978,B733,Both
1146,A746,B283,Both
1147,A186,B290,Both
1148,A561,B12,Both
1149,A67,B264,Both
1150,A637,B692,Both
1151,A443,B719,Both
1152,A5,B592,Both
1153,A151,B652,Both
1154,A967,B386,Both
1155,A342,B561,Both
1156,A804,B53,Both
1157,A651,B779,Both
1158,A174,B366,Both
1159,A431,B526,Both
1160,A584,B649,Both
1161,A751,B482,Both
1162,A438,B70,Both
1163,A167,B778,Both
1164,A553,B2,Both
1165,A310,B392,Both
1166,A16,B960,Both
1167,A783,B638,Both
1168,A628,B166,Both
1169,A783,B912,Both
1170,A89,B868,Both
1171,A421,B729,Both
1172,A695,B73,Both
1173,A856,B933,Both
1174,A777,B719,Both
1175,A164,B123,Both
1176,A702,B231,Both
1177,A123,B274,Both
1178,A587,B220,Both
1179,A347,B5,Both
1180,A907,B976,Both
1181,A311,B492,Both
1182,A46,B982,Both
1183,A473,B76,Both
1184,A310,B330,Both
1185,A544,B171,Both
1186,A207,B237,Both
1187,A978,B2,Both
1188,A131,B833,Both
1189,A816,B205,Both
1190,A55,B781,Both
1191,A710,B4,Both
1192,A402,B995,Both
1193,A334,B962,Both
1194,A653,B616,Both
1195,A29,B783,Both
1196,A761,B373,Both
1197,A565,B519,Both
1198,A365,B246,Both
1199,A426,B453,Both
1200,A393,B221,Both
1201,A563,B227,Both
1202,A20,B433,Both
1203,A490,B151,Both
1204,A255,B223,Both
1205,A77,B361,Both
1206,A412,B416,Both
1207,A792,B431,Both
1208,A124,B267,Both
1209,A857,B678,Both
1210,A472,B977,Both
1211,A795,B361,Both
1212,A119,B914,Both
1213,A417,B891,Both
1214,A954,B163,Both
1215,A430,B558,Both
1216,A108,B241,Both
1217,A651,B95,Both
1218,A945,B268,Both
1219,A128,B612,Both
1220,A388,B123,Both
1221,A836,B642,Both
1222,A956,B723,Both
1223,A522,B186,Both
1224,A121,B604,Both
1225,A68,B43,Both
1226,A159,B730,Both
1227,A485,B599,Both
1228,A300,B802,Both
1229,A454,B845,Both
1230,A613,B681,Both
1231,A463,B756,Both
1232,A773,B950,Both
1233,A292,B724,Both
1234,A111,B532,Both
1235,A934,B813,Both
1236,A373,B506,Both
1237,A670,B246,Both
1238,A418,B946,Both
1239,A857,B197,Both
1240,A339,B476,Both
1241,A957,B910,Both
1242,A693,B1,Both
1243,A840,B60,Both
1244,A349,B513,Both
1245,A912,B796,Both
1246,A198,B250,Both
1247,A401,B327,Both
